Categoria,Lista,Opcion,Cargo,Nombre,Alianza
Intendente,2C,1,Intendente,Ing. Carlitos Verón,Honor Colorado C
Intendente,2D,2,Intendente,Christian D'Ecclesiis,Honor Colorado D
Junta Municipal,2F,1,Concejal,Lucas Guillen,Honor Colorado F
Junta Municipal,2F,2,Concejal,Adan Rojas,Honor Colorado F
Junta Municipal,2F,3,Concejal,Luci Barreto,Honor Colorado F
Junta Municipal,2F,4,Concejal,Enrique Martinez,Honor Colorado F
Junta Municipal,2F,5,Concejal,Hugo Acosta,Honor Colorado F
Junta Municipal,2F,6,Concejal,Cristhian Acosta,Honor Colorado F
Junta Municipal,2F,7,Concejal,Cristhian D'Ecclesiis,Honor Colorado F
Junta Municipal,2F,8,Concejal,Prof. Abog. Daniel Martinez,Honor Colorado F
Junta Municipal,2F,9,Concejal,Nelson Zarza,Honor Colorado F
Junta Municipal,2F,10,Concejal,Carmen Cuenca,Honor Colorado F
Junta Municipal,2F,11,Concejal,Jorge Carracela,Honor Colorado F
Junta Municipal,2F,12,Concejal,Rodrigo Benitez,Honor Colorado F
Junta Municipal,2L,1,Concejal,Prof. Lourdes Meza,Honor Colorado L
Junta Municipal,2L,2,Concejal,Hilda Martinez,Honor Colorado L
Junta Municipal,2L,3,Concejal,Liliana Candia,Honor Colorado L
Junta Municipal,2L,4,Concejal,Brisa Asimo,Honor Colorado L
Junta Municipal,2L,5,Concejal,Prof. Licha De Colleville,Honor Colorado L
Junta Municipal,2L,6,Concejal,Candidato Renunció,Honor Colorado L
Junta Municipal,2L,7,Concejal,Juan Carlos Cardozo,Honor Colorado L
Junta Municipal,2L,8,Concejal,Mirian Noceda,Honor Colorado L
Junta Municipal,2L,9,Concejal,Delcy Roman,Honor Colorado L
Junta Municipal,2L,10,Concejal,Gabriel Martinez,Honor Colorado L
Junta Municipal,2L,11,Concejal,Gladys Torres,Honor Colorado L
Junta Municipal,2L,12,Concejal,Natalia Gimenez,Honor Colorado L
Junta Municipal,2S,1,Concejal,Abg. Carlos Sosa,Honor Colorado S
Junta Municipal,2S,2,Concejal,Luis Ibañez,Honor Colorado S
Junta Municipal,2S,3,Concejal,Lic. Marlene Quintana,Honor Colorado S
Junta Municipal,2S,4,Concejal,Dario Pintos,Honor Colorado S
Junta Municipal,2S,5,Concejal,Lelio Aquino,Honor Colorado S
Junta Municipal,2S,6,Concejal,Lic. Edita Fariña,Honor Colorado S
Junta Municipal,2S,7,Concejal,Lic. José Ruiz,Honor Colorado S
Junta Municipal,2S,8,Concejal,Prof. Fidencio Fernandez,Honor Colorado S
Junta Municipal,2S,9,Concejal,C.P. Gustavo Larroza,Honor Colorado S
Junta Municipal,2S,10,Concejal,Derlis Cuenca,Honor Colorado S
Junta Municipal,2S,11,Concejal,Vitinho,Honor Colorado S
Junta Municipal,2S,12,Concejal,Ariel Villar,Honor Colorado S
Junta Municipal,2T,1,Concejal,Tio Charly,Honor Colorado T
Junta Municipal,2T,2,Concejal,Bettina Vera,Honor Colorado T
Junta Municipal,2T,3,Concejal,Mgtr. Carolina Caballero,Honor Colorado T
Junta Municipal,2T,4,Concejal,Prof. Gerónimo Davalos,Honor Colorado T
Junta Municipal,2T,5,Concejal,Mgtr. Alcides Barreto,Honor Colorado T
Junta Municipal,2T,6,Concejal,Abg. Leticia Zarate,Honor Colorado T
Junta Municipal,2T,7,Concejal,Abg. David Samudio,Honor Colorado T
Junta Municipal,2T,8,Concejal,Ramon Niz,Honor Colorado T
Junta Municipal,2T,9,Concejal,Gustavo Pavon,Honor Colorado T
Junta Municipal,2T,10,Concejal,Lic. Cristian Acuña,Honor Colorado T
Junta Municipal,2T,11,Concejal,Luana Duarte,Honor Colorado T
Junta Municipal,2T,12,Concejal,Isidro Torales,Honor Colorado T
Junta Municipal,5,1,Concejal,Lidia Lopez Gimenez,Causa Republicana
Junta Municipal,5,2,Concejal,Katerin Pamela Acosta,Causa Republicana
Junta Municipal,5,3,Concejal,Alexi Francisco Baez Rodriguez,Causa Republicana
Junta Municipal,5,4,Concejal,Clara Ramona Alfonzo Lopez,Causa Republicana
Junta Municipal,5,5,Concejal,Elizabeth Alvarez Torres,Causa Republicana
Junta Municipal,5,6,Concejal,Maria Sinforiana Britos Espinola,Causa Republicana
Junta Municipal,5,7,Concejal,Liliana Alfonzo Lopez,Causa Republicana
Junta Municipal,5,8,Concejal,Ariel Britos Espinola,Causa Republicana
Junta Municipal,5,9,Concejal,Maria Griselda Nuñez Frasqueri,Causa Republicana
Junta Municipal,5,10,Concejal,Edison Ruben Diaz Aguirre,Causa Republicana
Junta Municipal,5,11,Concejal,Porfiria Lopez De Alfonzo,Causa Republicana
Junta Municipal,5,12,Concejal,Rosalia Soledad Alfonzo Lopez,Causa Republicana
Junta Municipal,6,1,Concejal,Jose Quintana,Colorado Añetete
Junta Municipal,6,2,Concejal,Lucho Ramirez,Colorado Añetete
Junta Municipal,6,3,Concejal,Chelo Venialgo,Colorado Añetete
Junta Municipal,6,4,Concejal,Mercedes Martinez,Colorado Añetete
Junta Municipal,6,5,Concejal,Herminia Ledesma,Colorado Añetete
Junta Municipal,6,6,Concejal,Mirta Raquel Arias Sosa,Colorado Añetete
Junta Municipal,6,7,Concejal,Evelyn Pereira,Colorado Añetete
Junta Municipal,6,8,Concejal,Agustin Centurion,Colorado Añetete
Junta Municipal,6,9,Concejal,Rosa Maria Amarilla Gonzalez,Colorado Añetete
Junta Municipal,6,10,Concejal,Isidora More,Colorado Añetete
Junta Municipal,6,11,Concejal,Carmen Leon,Colorado Añetete
Junta Municipal,6,12,Concejal,Milagros Velazquez,Colorado Añetete
